model_type,dataset_type,stem,original_path,watermarked_path,logmel_score,stft_score
audioseal,bonafide,E_0006839596,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0006839596.flac,watermarked_audios/audioseal/bonafide/E_0006839596_watermarked.flac,0.36110010743141174,0.24205757677555084
audioseal,bonafide,E_0000627064,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0000627064.flac,watermarked_audios/audioseal/bonafide/E_0000627064_watermarked.flac,0.40422555804252625,0.2695998549461365
audioseal,bonafide,E_0000957163,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0000957163.flac,watermarked_audios/audioseal/bonafide/E_0000957163_watermarked.flac,0.3264218270778656,0.23086978495121002
audioseal,bonafide,E_0007905120,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0007905120.flac,watermarked_audios/audioseal/bonafide/E_0007905120_watermarked.flac,0.4103460907936096,0.27571216225624084
audioseal,bonafide,E_0007639374,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0007639374.flac,watermarked_audios/audioseal/bonafide/E_0007639374_watermarked.flac,0.3644009232521057,0.23465754091739655
audioseal,bonafide,E_0006493105,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0006493105.flac,watermarked_audios/audioseal/bonafide/E_0006493105_watermarked.flac,0.3203476369380951,0.20593959093093872
audioseal,bonafide,E_0001269259,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0001269259.flac,watermarked_audios/audioseal/bonafide/E_0001269259_watermarked.flac,0.28946641087532043,0.20863620936870575
audioseal,bonafide,E_0005506690,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0005506690.flac,watermarked_audios/audioseal/bonafide/E_0005506690_watermarked.flac,0.317802369594574,0.20550894737243652
audioseal,bonafide,E_0009189716,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0009189716.flac,watermarked_audios/audioseal/bonafide/E_0009189716_watermarked.flac,0.4407620429992676,0.296220600605011
audioseal,bonafide,E_0003114464,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0003114464.flac,watermarked_audios/audioseal/bonafide/E_0003114464_watermarked.flac,0.29973524808883667,0.21664275228977203
audioseal,bonafide,E_0001920630,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0001920630.flac,watermarked_audios/audioseal/bonafide/E_0001920630_watermarked.flac,0.36634087562561035,0.2598261535167694
audioseal,bonafide,E_0001443220,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0001443220.flac,watermarked_audios/audioseal/bonafide/E_0001443220_watermarked.flac,0.4504529535770416,0.2784687578678131
audioseal,bonafide,E_0004040465,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0004040465.flac,watermarked_audios/audioseal/bonafide/E_0004040465_watermarked.flac,0.33008089661598206,0.2331782579421997
audioseal,bonafide,E_0007728666,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0007728666.flac,watermarked_audios/audioseal/bonafide/E_0007728666_watermarked.flac,0.31759873032569885,0.21834830939769745
audioseal,bonafide,E_0008626619,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0008626619.flac,watermarked_audios/audioseal/bonafide/E_0008626619_watermarked.flac,0.3687998652458191,0.24115969240665436
audioseal,bonafide,E_0006199198,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0006199198.flac,watermarked_audios/audioseal/bonafide/E_0006199198_watermarked.flac,0.356545090675354,0.2453540861606598
audioseal,bonafide,E_0007214881,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0007214881.flac,watermarked_audios/audioseal/bonafide/E_0007214881_watermarked.flac,0.36234596371650696,0.2421814203262329
audioseal,bonafide,E_0007526735,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0007526735.flac,watermarked_audios/audioseal/bonafide/E_0007526735_watermarked.flac,0.39562737941741943,0.2819610834121704
audioseal,bonafide,E_0004199501,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0004199501.flac,watermarked_audios/audioseal/bonafide/E_0004199501_watermarked.flac,0.32081541419029236,0.20317226648330688
audioseal,bonafide,E_0000257343,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0000257343.flac,watermarked_audios/audioseal/bonafide/E_0000257343_watermarked.flac,0.3164443075656891,0.21779543161392212
audioseal,bonafide,E_0003175356,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0003175356.flac,watermarked_audios/audioseal/bonafide/E_0003175356_watermarked.flac,0.35458314418792725,0.22541148960590363
audioseal,bonafide,E_0000657716,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0000657716.flac,watermarked_audios/audioseal/bonafide/E_0000657716_watermarked.flac,0.33697202801704407,0.22682160139083862
audioseal,bonafide,E_0004036220,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0004036220.flac,watermarked_audios/audioseal/bonafide/E_0004036220_watermarked.flac,0.45924943685531616,0.25355610251426697
audioseal,bonafide,E_0006971268,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0006971268.flac,watermarked_audios/audioseal/bonafide/E_0006971268_watermarked.flac,0.5305073857307434,0.2862612009048462
audioseal,bonafide,E_0007753686,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0007753686.flac,watermarked_audios/audioseal/bonafide/E_0007753686_watermarked.flac,0.4823969006538391,0.2738817632198334
audioseal,bonafide,E_0002725754,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0002725754.flac,watermarked_audios/audioseal/bonafide/E_0002725754_watermarked.flac,0.2434030920267105,0.1688946634531021
audioseal,bonafide,E_0008864076,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0008864076.flac,watermarked_audios/audioseal/bonafide/E_0008864076_watermarked.flac,0.5431671738624573,0.3079465627670288
